User Name,tweet_id,created_at,Tweet_text
OPP GTA Traffic,1149346007852998658,2019-07-11 11:53:36,CLEARED: COLLISION: Hwy 6 at Campbellville Rd #Flamborough - All lanes open. ^kw
OPP GTA Traffic,1149335283105763329,2019-07-11 11:10:59,UPDATE: COLLISION: Hwy 6 at Campbellville Rd #Flamborough - Road closed in both directions. ^kw
OPP GTA Traffic,1149332827391123456,2019-07-11 11:01:14,"COLLISION: Hwy 6 at Campbellville Rd #Flamborough - 2 vehicle collision, emergency services on scene. ^kw"
OPP GTA Traffic,1149327450515693568,2019-07-11 10:39:52,CLEARED: COLLISION: #Hwy401 EB Coll at McCowan - Vehicles removed. ^kw
OPP GTA Traffic,1149323171725815809,2019-07-11 10:22:52,CLEARED: COLLISION: #Hwy403 WB at Mavis - All lanes open. ^kw
OPP GTA Traffic,1149320322639941633,2019-07-11 10:11:32,COLLISION: #Hwy401 EB Coll at Keele - Collision blocking 2 lanes. ^kw
OPP GTA Traffic,1149311788296691714,2019-07-11 09:37:38,COLLISION: #Hwy401 EB Coll at McCowan - Collision blocking 2 left lanes. ^kw
OPP GTA Traffic,1149304131905081344,2019-07-11 09:07:12,"COLLISION: #Hwy403 WB at Mavis - Collision blocking lanes, tows are on scene. ^kw"
OPP GTA Traffic,1149256505734127616,2019-07-11 05:57:57,CLEARED: ROAD CLOSURE: #Hwy401 EB at Harmony Rd #Oshawa- All lanes now OPEN. ^kw
OPP GTA Traffic,1149253691565850626,2019-07-11 05:46:46,RT @YRP: As a direct result of the Amber Alert Mr. Easton and his two grandchildren were located by the Toronto Police Service driving on Lâ€¦
